"","Sensitivity","Specificity","F1","Balanced Accuracy"
"Class 1",98.8748241912799,99.4652406417112,97.3684210526316,99.1700324164956
"Class 3",97.8956597983341,99.4059405940594,98.4133979726752,98.6508001961967
"Class 4",98.4641638225256,99.2425713730822,97.5898520084567,98.8533675978039
"Class 5",94.5679012345679,99.6112237998648,94.4512946979038,97.0895625172163
"Class 6",97.0892018779343,99.6955859969559,97.7777777777778,98.3923939374451
"Class 9",98.3286908077994,99.6477692049648,96.3165075034106,98.9882300063821
"Class Combined",89.3292682926829,99.7497079926581,92.1383647798742,94.5394881426705
