"","Sensitivity","Specificity","F1","Balanced Accuracy"
"Class 1",100,99.9108734402852,99.6496145760336,99.9554367201426
"Class 3",99.4739149495835,99.8762376237624,99.6267837541164,99.6750762866729
"Class 4",99.7440273037543,99.7669450378714,99.3625159371016,99.7554861708128
"Class 5",98.2716049382716,99.9661933739013,98.8819875776397,99.1188991560864
"Class 6",99.7183098591549,99.9048706240487,99.624765478424,99.8115902416018
"Class 9",100,99.9832271049983,99.8609179415855,99.9916135524992
"Class Combined",98.4756097560976,100,99.2319508448541,99.2378048780488
