"","Sensitivity","Specificity","F1","Balanced Accuracy"
"Class 1",98.8748241912799,99.4295900178253,97.2337482710927,99.1522071045526
"Class 3",98.0271810609382,99.5792079207921,98.6325540361711,98.8031944908651
"Class 4",98.7201365187713,99.3202563604583,97.8849407783418,99.0201964396148
"Class 5",95.5555555555556,99.6619337390128,95.320197044335,97.6087446472842
"Class 6",97.3708920187793,99.6955859969559,97.9225684608121,98.5332390078676
"Class 9",98.6072423398329,99.7316336799732,97.119341563786,99.169438009903
"Class Combined",90.2439024390244,99.7497079926581,92.6447574334898,94.9968052158412
