"","Sensitivity","Specificity","F1","Balanced Accuracy"
"Class 1",99.2967651195499,99.4652406417112,97.581202487906,99.3810028806306
"Class 3",98.0271810609382,99.3316831683168,98.4154929577465,98.6794321146275
"Class 4",98.3788395904437,99.3979413478345,97.8777589134126,98.8883904691391
"Class 5",94.320987654321,99.6619337390128,94.6716232961586,96.9914606966669
"Class 6",97.1830985915493,99.7526636225266,97.9649787032655,98.467881107038
"Class 9",98.3286908077994,99.7484065749749,97.111416781293,99.0385486913871
"Class Combined",91.4634146341463,99.6662773235441,92.5925925925926,95.5648459788452
